geohash,hour,day_of_week,violation_count,latitude,longitude
tdr0zu,3,2,1,12.811772725,77.6941004875
tdr0zu,21,2,7,12.811772725,77.6941004875
tdr0zv,0,0,3,12.818857186580086,77.6888305073593
tdr0zv,0,2,3,12.818857186580086,77.6888305073593
tdr0zv,0,3,1,12.818857186580086,77.6888305073593
tdr0zv,0,4,9,12.818857186580086,77.6888305073593
tdr0zv,0,5,1,12.818857186580086,77.6888305073593
tdr0zv,0,6,1,12.818857186580086,77.6888305073593
tdr0zv,1,0,1,12.818857186580086,77.6888305073593
tdr0zv,1,1,2,12.818857186580086,77.6888305073593
tdr0zv,1,3,1,12.818857186580086,77.6888305073593
tdr0zv,1,4,6,12.818857186580086,77.6888305073593
tdr0zv,1,6,1,12.818857186580086,77.6888305073593
tdr0zv,2,5,4,12.818857186580086,77.6888305073593
tdr0zv,3,0,5,12.818857186580086,77.6888305073593
tdr0zv,3,1,3,12.818857186580086,77.6888305073593
tdr0zv,3,4,24,12.818857186580086,77.6888305073593
tdr0zv,4,0,1,12.818857186580086,77.6888305073593
tdr0zv,4,1,2,12.818857186580086,77.6888305073593
tdr0zv,4,2,1,12.818857186580086,77.6888305073593
tdr0zv,4,3,1,12.818857186580086,77.6888305073593
tdr0zv,5,1,10,12.818857186580086,77.6888305073593
tdr0zv,5,2,18,12.818857186580086,77.6888305073593
tdr0zv,5,5,1,12.818857186580086,77.6888305073593
tdr0zv,5,6,8,12.818857186580086,77.6888305073593
tdr0zv,6,0,7,12.818857186580086,77.6888305073593
tdr0zv,6,1,3,12.818857186580086,77.6888305073593
tdr0zv,6,2,3,12.818857186580086,77.6888305073593
tdr0zv,6,4,2,12.818857186580086,77.6888305073593
tdr0zv,6,6,3,12.818857186580086,77.6888305073593
tdr0zv,7,3,2,12.818857186580086,77.6888305073593
tdr0zv,7,4,6,12.818857186580086,77.6888305073593
tdr0zv,7,5,1,12.818857186580086,77.6888305073593
tdr0zv,7,6,1,12.818857186580086,77.6888305073593
tdr0zv,8,1,3,12.818857186580086,77.6888305073593
tdr0zv,20,4,41,12.818857186580086,77.6888305073593
tdr0zv,21,0,4,12.818857186580086,77.6888305073593
tdr0zv,21,1,2,12.818857186580086,77.6888305073593
tdr0zv,21,2,2,12.818857186580086,77.6888305073593
tdr0zv,21,3,11,12.818857186580086,77.6888305073593
tdr0zv,21,4,4,12.818857186580086,77.6888305073593
tdr0zv,22,2,1,12.818857186580086,77.6888305073593
tdr0zv,22,3,1,12.818857186580086,77.6888305073593
tdr0zv,23,1,1,12.818857186580086,77.6888305073593
tdr0zv,23,3,1,12.818857186580086,77.6888305073593
tdr0zv,23,4,18,12.818857186580086,77.6888305073593
tdr0zv,23,6,7,12.818857186580086,77.6888305073593
tdr0zw,8,2,2,12.82567851818182,77.68282955454545
tdr0zw,20,2,1,12.82567851818182,77.68282955454545
tdr0zw,21,2,5,12.82567851818182,77.68282955454545
tdr0zw,21,3,2,12.82567851818182,77.68282955454545
tdr0zw,22,2,1,12.82567851818182,77.68282955454545
tdr0zx,0,6,1,12.828482537500001,77.68193932916667
tdr0zx,1,4,1,12.828482537500001,77.68193932916667
tdr0zx,2,4,1,12.828482537500001,77.68193932916667
tdr0zx,4,5,1,12.828482537500001,77.68193932916667
tdr0zx,21,0,4,12.828482537500001,77.68193932916667
tdr0zx,21,2,6,12.828482537500001,77.68193932916667
tdr0zx,21,3,4,12.828482537500001,77.68193932916667
tdr0zx,21,4,1,12.828482537500001,77.68193932916667
tdr0zx,22,2,5,12.828482537500001,77.68193932916667
tdr0zy,0,6,1,12.822544214705882,77.68606331470588
tdr0zy,1,6,1,12.822544214705882,77.68606331470588
tdr0zy,2,4,17,12.822544214705882,77.68606331470588
tdr0zy,2,5,1,12.822544214705882,77.68606331470588
tdr0zy,3,4,4,12.822544214705882,77.68606331470588
tdr0zy,4,3,1,12.822544214705882,77.68606331470588
tdr0zy,4,6,4,12.822544214705882,77.68606331470588
tdr0zy,5,0,1,12.822544214705882,77.68606331470588
tdr0zy,6,1,1,12.822544214705882,77.68606331470588
tdr0zy,6,6,1,12.822544214705882,77.68606331470588
tdr0zy,8,3,2,12.822544214705882,77.68606331470588
tdr162,4,1,2,12.878552925000001,77.4453608
tdr162,5,6,1,12.878552925000001,77.4453608
tdr162,20,2,1,12.878552925000001,77.4453608
tdr167,2,4,1,12.896729933333333,77.45337496666667
tdr167,3,2,1,12.896729933333333,77.45337496666667
tdr167,22,2,1,12.896729933333333,77.45337496666667
tdr16e,4,5,1,12.8963282,77.4548149
tdr16m,5,2,1,12.9035725,77.4498397
tdr16u,2,2,1,12.900402666666666,77.46652746666666
tdr16u,20,5,1,12.900402666666666,77.46652746666666
tdr16u,23,5,1,12.900402666666666,77.46652746666666
tdr179,1,2,1,12.8838377,77.5019219
tdr17b,4,6,1,12.8778133,77.517105
tdr17j,22,2,3,12.905856366666667,77.47566493333333
tdr17n,0,3,5,12.912386357937029,77.48154793352577
tdr17n,0,4,7,12.912386357937029,77.48154793352577
tdr17n,0,5,3,12.912386357937029,77.48154793352577
tdr17n,1,0,2,12.912386357937029,77.48154793352577
tdr17n,1,1,2,12.912386357937029,77.48154793352577
tdr17n,1,3,1,12.912386357937029,77.48154793352577
tdr17n,1,5,1,12.912386357937029,77.48154793352577
tdr17n,2,1,1,12.912386357937029,77.48154793352577
tdr17n,2,6,4,12.912386357937029,77.48154793352577
tdr17n,3,2,2,12.912386357937029,77.48154793352577
tdr17n,3,4,2,12.912386357937029,77.48154793352577
tdr17n,3,5,2,12.912386357937029,77.48154793352577
tdr17n,3,6,2,12.912386357937029,77.48154793352577
tdr17n,4,1,3,12.912386357937029,77.48154793352577
tdr17n,4,2,2,12.912386357937029,77.48154793352577
tdr17n,4,4,3,12.912386357937029,77.48154793352577
tdr17n,4,6,3,12.912386357937029,77.48154793352577
tdr17n,5,0,1,12.912386357937029,77.48154793352577
tdr17n,5,1,3,12.912386357937029,77.48154793352577
tdr17n,5,3,2,12.912386357937029,77.48154793352577
tdr17n,5,6,1,12.912386357937029,77.48154793352577
tdr17n,6,0,2,12.912386357937029,77.48154793352577
tdr17n,6,1,1,12.912386357937029,77.48154793352577
tdr17n,6,2,1,12.912386357937029,77.48154793352577
tdr17n,6,3,4,12.912386357937029,77.48154793352577
tdr17n,6,4,1,12.912386357937029,77.48154793352577
tdr17n,6,6,6,12.912386357937029,77.48154793352577
tdr17n,7,0,2,12.912386357937029,77.48154793352577
tdr17n,7,4,1,12.912386357937029,77.48154793352577
tdr17n,8,6,2,12.912386357937029,77.48154793352577
tdr17n,9,1,1,12.912386357937029,77.48154793352577
tdr17n,15,6,1,12.912386357937029,77.48154793352577
tdr17n,21,2,1,12.912386357937029,77.48154793352577
tdr17n,21,4,1,12.912386357937029,77.48154793352577
tdr17n,22,0,1,12.912386357937029,77.48154793352577
tdr17n,22,2,5,12.912386357937029,77.48154793352577
tdr17n,22,3,1,12.912386357937029,77.48154793352577
tdr17n,22,6,2,12.912386357937029,77.48154793352577
tdr17n,23,0,1,12.912386357937029,77.48154793352577
tdr17n,23,2,14,12.912386357937029,77.48154793352577
tdr17n,23,3,2,12.912386357937029,77.48154793352577
tdr17n,23,5,1,12.912386357937029,77.48154793352577
tdr17p,0,5,6,12.915123093665521,77.48152742578898
tdr17p,5,0,2,12.915123093665521,77.48152742578898
tdr17p,5,4,1,12.915123093665521,77.48152742578898
tdr17p,21,0,2,12.915123093665521,77.48152742578898
tdr17p,21,2,1,12.915123093665521,77.48152742578898
tdr17p,21,3,1,12.915123093665521,77.48152742578898
tdr17p,21,4,1,12.915123093665521,77.48152742578898
tdr17p,22,2,2,12.915123093665521,77.48152742578898
tdr17p,22,4,3,12.915123093665521,77.48152742578898
tdr17p,23,0,2,12.915123093665521,77.48152742578898
tdr17p,23,2,2,12.915123093665521,77.48152742578898
tdr17p,23,3,1,12.915123093665521,77.48152742578898
tdr17p,23,4,1,12.915123093665521,77.48152742578898
tdr17q,5,1,3,12.913951946153846,77.48684848461538
tdr17q,6,1,1,12.913951946153846,77.48684848461538
tdr17q,6,5,1,12.913951946153846,77.48684848461538
tdr17q,21,1,2,12.913951946153846,77.48684848461538
tdr17q,21,2,2,12.913951946153846,77.48684848461538
tdr17q,22,0,1,12.913951946153846,77.48684848461538
tdr17q,22,2,1,12.913951946153846,77.48684848461538
tdr17q,23,0,2,12.913951946153846,77.48684848461538
tdr17r,7,2,1,12.9160046,77.49010365000001
tdr17r,7,4,1,12.9160046,77.49010365000001
tdr17u,5,5,1,12.9026833,77.5190814
tdr17v,5,2,1,12.904153025,77.51204185
tdr17v,6,2,1,12.904153025,77.51204185
tdr17v,20,2,2,12.904153025,77.51204185
tdr17x,4,5,11,12.917050117647058,77.50018557647059
tdr17x,5,1,3,12.917050117647058,77.50018557647059
tdr17x,5,2,7,12.917050117647058,77.50018557647059
tdr17x,5,3,11,12.917050117647058,77.50018557647059
tdr17x,5,5,7,12.917050117647058,77.50018557647059
tdr17x,6,1,4,12.917050117647058,77.50018557647059
tdr17x,6,3,8,12.917050117647058,77.50018557647059
tdr17y,1,6,4,12.910120145714286,77.51341690000001
tdr17y,5,6,21,12.910120145714286,77.51341690000001
tdr17y,6,1,8,12.910120145714286,77.51341690000001
tdr17y,6,6,2,12.910120145714286,77.51341690000001
tdr17z,6,2,1,12.91689125,77.51383215
tdr17z,22,2,2,12.91689125,77.51383215
tdr17z,23,5,1,12.91689125,77.51383215
tdr1db,22,5,1,12.9234668,77.4728372
tdr1e0,3,5,2,12.924727244444444,77.48522580000001
tdr1e0,6,0,3,12.924727244444444,77.48522580000001
tdr1e0,7,4,1,12.924727244444444,77.48522580000001
tdr1e0,8,4,3,12.924727244444444,77.48522580000001
tdr1e1,1,0,1,12.9258225,77.4767094
tdr1e2,5,4,1,12.9227675,77.49538231666666
tdr1e2,6,6,1,12.9227675,77.49538231666666
tdr1e2,7,4,2,12.9227675,77.49538231666666
tdr1e2,21,2,2,12.9227675,77.49538231666666
tdr1e6,2,0,2,12.93402838,77.48986698666667
tdr1e6,2,1,1,12.93402838,77.48986698666667
tdr1e6,5,0,1,12.93402838,77.48986698666667
tdr1e6,5,4,1,12.93402838,77.48986698666667
tdr1e6,6,3,5,12.93402838,77.48986698666667
tdr1e6,6,6,1,12.93402838,77.48986698666667
tdr1e6,7,0,2,12.93402838,77.48986698666667
tdr1e6,22,4,1,12.93402838,77.48986698666667
tdr1e6,23,3,1,12.93402838,77.48986698666667
tdr1e7,0,6,1,12.938513501587302,77.49285955714285
tdr1e7,1,0,2,12.938513501587302,77.49285955714285
tdr1e7,5,1,6,12.938513501587302,77.49285955714285
tdr1e7,5,2,1,12.938513501587302,77.49285955714285
tdr1e7,5,6,1,12.938513501587302,77.49285955714285
tdr1e7,6,1,8,12.938513501587302,77.49285955714285
tdr1e7,6,2,5,12.938513501587302,77.49285955714285
tdr1e7,6,5,17,12.938513501587302,77.49285955714285
tdr1e7,6,6,3,12.938513501587302,77.49285955714285
tdr1e7,20,0,1,12.938513501587302,77.49285955714285
tdr1e7,21,4,4,12.938513501587302,77.49285955714285
tdr1e7,22,0,4,12.938513501587302,77.49285955714285
tdr1e7,22,4,2,12.938513501587302,77.49285955714285
tdr1e7,22,5,1,12.938513501587302,77.49285955714285
tdr1e7,23,1,6,12.938513501587302,77.49285955714285
tdr1e7,23,5,1,12.938513501587302,77.49285955714285
tdr1e8,2,4,8,12.925075116666667,77.49884434166667
tdr1e8,7,4,1,12.925075116666667,77.49884434166667
tdr1e8,21,4,1,12.925075116666667,77.49884434166667
tdr1e8,22,4,2,12.925075116666667,77.49884434166667
tdr1e9,7,3,5,12.926263216666667,77.49972100000001
tdr1e9,7,4,1,12.926263216666667,77.49972100000001
tdr1eb,0,4,2,12.922982819999998,77.51607373
tdr1eb,0,5,1,12.922982819999998,77.51607373
tdr1eb,3,4,1,12.922982819999998,77.51607373
tdr1eb,5,5,2,12.922982819999998,77.51607373
tdr1eb,22,2,2,12.922982819999998,77.51607373
tdr1eb,23,2,2,12.922982819999998,77.51607373
tdr1ec,0,4,2,12.928857507699911,77.51513162940385
tdr1ec,1,4,2,12.928857507699911,77.51513162940385
tdr1ec,1,6,1,12.928857507699911,77.51513162940385
tdr1ec,2,4,1,12.928857507699911,77.51513162940385
tdr1ec,2,6,1,12.928857507699911,77.51513162940385
tdr1ec,3,3,1,12.928857507699911,77.51513162940385
tdr1ec,3,4,1,12.928857507699911,77.51513162940385
tdr1ec,5,6,2,12.928857507699911,77.51513162940385
tdr1ec,6,2,10,12.928857507699911,77.51513162940385
tdr1ec,6,5,1,12.928857507699911,77.51513162940385
tdr1ec,8,2,1,12.928857507699911,77.51513162940385
tdr1ec,23,4,1,12.928857507699911,77.51513162940385
tdr1ed,0,3,1,12.9315757,77.5063069
tdr1ef,0,2,1,12.934968045829413,77.51703478167049
tdr1ef,0,3,1,12.934968045829413,77.51703478167049
tdr1ef,0,4,7,12.934968045829413,77.51703478167049
tdr1ef,0,5,2,12.934968045829413,77.51703478167049
tdr1ef,1,1,8,12.934968045829413,77.51703478167049
tdr1ef,1,3,3,12.934968045829413,77.51703478167049
tdr1ef,1,4,2,12.934968045829413,77.51703478167049
tdr1ef,1,5,1,12.934968045829413,77.51703478167049
tdr1ef,1,6,11,12.934968045829413,77.51703478167049
tdr1ef,2,0,8,12.934968045829413,77.51703478167049
tdr1ef,2,1,22,12.934968045829413,77.51703478167049
tdr1ef,2,2,27,12.934968045829413,77.51703478167049
tdr1ef,2,4,1,12.934968045829413,77.51703478167049
tdr1ef,2,5,4,12.934968045829413,77.51703478167049
tdr1ef,3,0,1,12.934968045829413,77.51703478167049
tdr1ef,3,1,6,12.934968045829413,77.51703478167049
tdr1ef,3,3,1,12.934968045829413,77.51703478167049
tdr1ef,3,4,2,12.934968045829413,77.51703478167049
tdr1ef,3,5,5,12.934968045829413,77.51703478167049
tdr1ef,3,6,6,12.934968045829413,77.51703478167049
tdr1ef,4,0,3,12.934968045829413,77.51703478167049
tdr1ef,4,2,7,12.934968045829413,77.51703478167049
tdr1ef,4,4,21,12.934968045829413,77.51703478167049
tdr1ef,4,5,6,12.934968045829413,77.51703478167049
tdr1ef,4,6,14,12.934968045829413,77.51703478167049
tdr1ef,5,0,8,12.934968045829413,77.51703478167049
tdr1ef,5,1,2,12.934968045829413,77.51703478167049
tdr1ef,5,2,5,12.934968045829413,77.51703478167049
tdr1ef,5,3,29,12.934968045829413,77.51703478167049
tdr1ef,5,4,3,12.934968045829413,77.51703478167049
tdr1ef,5,5,12,12.934968045829413,77.51703478167049
tdr1ef,5,6,20,12.934968045829413,77.51703478167049
tdr1ef,6,0,3,12.934968045829413,77.51703478167049
tdr1ef,6,1,6,12.934968045829413,77.51703478167049
tdr1ef,6,2,6,12.934968045829413,77.51703478167049
tdr1ef,6,3,5,12.934968045829413,77.51703478167049
tdr1ef,6,4,12,12.934968045829413,77.51703478167049
tdr1ef,6,5,8,12.934968045829413,77.51703478167049
tdr1ef,7,0,3,12.934968045829413,77.51703478167049
